RaceID,Race Type,Team,Reaction Time,Split Time,Race Time,Combined Time
60,Reaction,BEN,0.223,0.000,0.000,0.000
61,Reaction, VARUN, DNF,0.000,0.000,0.000
61,Reaction,BEN,0.357,0.000,0.000,0.000
62,Reaction, VARUN, DNF,0.000,0.000,0.000
62,Reaction,BEN,0.263,0.000,0.000,0.000
63,Reaction, VARUN, 0.174,0.000,0.000,0.000
63,Reaction,BEN,0.278,0.000,0.000,0.000
64,Reaction, VARUN, 0.178,0.000,0.000,0.000
64,Reaction,BEN,0.185,0.000,0.000,0.000
65,Reaction, VARUN, 0.210,0.000,0.000,0.000
65,Reaction,BEN,0.223,0.000,0.000,0.000
66,Reaction, VARUN, 0.166,0.000,0.000,0.000
66,Reaction,BEN,0.173,0.000,0.000,0.000
67,Reaction, VARUN, DNF,0.000,0.000,0.000
67,Reaction,BEN,DNF,0.000,0.000,0.000
68,Reaction, VARUN, 0.229,0.000,0.000,0.000
68,Reaction,BEN,0.235,0.000,0.000,0.000
69,Reaction, VARUN, 0.221,0.000,0.000,0.000
69,Reaction,BEN,0.198,0.000,0.000,0.000
70,Reaction, VARUN, 0.191,0.000,0.000,0.000
70,Reaction,BEN,0.201,0.000,0.000,0.000
71,Reaction, VARUN, 0.265,0.000,0.000,0.000
71,Reaction,BEN,0.181,0.000,0.000,0.000
72,Reaction, VARUN, DNF,0.000,0.000,0.000
72,Reaction,BEN,0.173,0.000,0.000,0.000
74,Reaction, VARUN, 0.235,0.000,0.000,0.000
74,Reaction,BEN,0.208,0.000,0.000,0.000
75,Reaction, VARUN, 0.204,0.000,0.000,0.000
75,Reaction,BEN,0.227,0.000,0.000,0.000
76,Reaction, VARUN, 0.227,0.000,0.000,0.000
76,Reaction,BEN,0.249,0.000,0.000,0.000
77,Reaction, VARUN, DNF,0.000,0.000,0.000
77,Reaction,BEN,DNF,0.000,0.000,0.000
78,Reaction, VARUN, 0.182,0.000,0.000,0.000
78,Reaction,BEN,0.236,0.000,0.000,0.000
79,Reaction, VARUN, 0.165,0.000,0.000,0.000
79,Reaction,BEN,0.188,0.000,0.000,0.000
80,Reaction, VARUN, 0.172,0.000,0.000,0.000
80,Reaction,BEN,0.164,0.000,0.000,0.000
81,Reaction, VARUN, 0.153,0.000,0.000,0.000
81,Reaction,BEN,0.177,0.000,0.000,0.000
82,Reaction, VARUN, 0.185,0.000,0.000,0.000
82,Reaction,BEN,DNF,0.000,0.000,0.000
83,Reaction, VARUN, 0.193,0.000,0.000,0.000
83,Reaction,BEN,0.185,0.000,0.000,0.000
84,Reaction, LANE 1, 0.187,0.000,0.000,0.000
84,Reaction,LANE 2,0.268,0.000,0.000,0.000
85,Reaction, LANE 1, 0.210,0.000,0.000,0.000
85,Reaction,LANE 2,0.217,0.000,0.000,0.000
86,Reaction, LANE 1, 0.216,0.000,0.000,0.000
86,Reaction,LANE 2,0.237,0.000,0.000,0.000
87,Reaction, LANE 1, DNF,0.000,0.000,0.000
87,Reaction,LANE 2,2.450,0.000,0.000,0.000
88,Reaction, LANE 1, 0.286,0.000,0.000,0.000
88,Reaction,LANE 2,0.198,0.000,0.000,0.000
89,Reaction, LANE 1, 0.504,0.000,0.000,0.000
89,Reaction,LANE 2,0.210,0.000,0.000,0.000
90,Reaction, LANE 1, 0.220,0.000,0.000,0.000
90,Reaction,LANE 2,0.197,0.000,0.000,0.000
91,Reaction, LANE 1, DNF,0.000,0.000,0.000
91,Reaction,LANE 2,1.526,0.000,0.000,0.000
92,Reaction, LANE 1, 0.275,0.000,0.000,0.000
92,Reaction,LANE 2,0.207,0.000,0.000,0.000
93,Reaction, LANE 1, 0.179,0.000,0.000,0.000
93,Reaction,LANE 2,0.209,0.000,0.000,0.000
94,Reaction, LANE 1, 0.167,0.000,0.000,0.000
94,Reaction,LANE 2,0.179,0.000,0.000,0.000
95,Reaction, LANE 1, 0.175,0.000,0.000,0.000
95,Reaction,LANE 2,0.200,0.000,0.000,0.000
96,Reaction, LANE 1, 0.164,0.000,0.000,0.000
96,Reaction,LANE 2,0.169,0.000,0.000,0.000
97,Reaction, LANE 1, 0.160,0.000,0.000,0.000
97,Reaction,LANE 2,0.236,0.000,0.000,0.000
98,Reaction, LANE 1, 0.172,0.000,0.000,0.000
98,Reaction,LANE 2,0.167,0.000,0.000,0.000
99,Reaction, LANE 1, 0.223,0.000,0.000,0.000
99,Reaction,LANE 2,0.163,0.000,0.000,0.000
102,Reaction, LANE 1, 0.157,0.000,0.000,0.000
102,Reaction,LANE 2,0.345,0.000,0.000,0.000
103,Reaction, LANE 1, 0.174,0.000,0.000,0.000
103,Reaction,LANE 2,0.167,0.000,0.000,0.000
104,Reaction, LANE 1, 0.217,0.000,0.000,0.000
104,Reaction,LANE 2,0.160,0.000,0.000,0.000
105,Reaction, LANE 1, 0.212,0.000,0.000,0.000
105,Reaction,LANE 2,0.163,0.000,0.000,0.000
106,Reaction, LANE 1, 0.249,0.000,0.000,0.000
106,Reaction,LANE 2,0.191,0.000,0.000,0.000
107,Reaction, LANE 1, 0.185,0.000,0.000,0.000
107,Reaction,LANE 2,0.160,0.000,0.000,0.000
108,Reaction, LANE 1, 0.194,0.000,0.000,0.000
108,Reaction,LANE 2,DNF,0.000,0.000,0.000
109,Reaction, LANE 1, 0.167,0.000,0.000,0.000
109,Reaction,LANE 2,0.204,0.000,0.000,0.000
110,Reaction, LANE 1, 0.200,0.000,0.000,0.000
110,Reaction,LANE 2,0.211,0.000,0.000,0.000
111,Reaction, LANE 1, 0.186,0.000,0.000,0.000
111,Reaction,LANE 2,0.162,0.000,0.000,0.000
112,Reaction, HYPERDRIVE, 0.211,0.000,0.000,0.000
112,Reaction,CARSALES,DNF,0.000,0.000,0.000
113,Reaction, HYPERDRIVE, 0.155,0.000,0.000,0.000
113,Reaction,CARSALES,2.226,0.000,0.000,0.000
114,Reaction, HYPERDRIVE, 0.192,0.000,0.000,0.000
114,Reaction,CARSALES,0.223,0.000,0.000,0.000
115,Reaction, HYPERDRIVE, 0.254,0.000,0.000,0.000
115,Reaction,CARSALES,0.331,0.000,0.000,0.000
116,Reaction, HYPERDRIVE, 0.203,0.000,0.000,0.000
116,Reaction,CARSALES,0.179,0.000,0.000,0.000
117,Reaction, HYPERDRIVE, 0.155,0.000,0.000,0.000
117,Reaction,CARSALES,0.281,0.000,0.000,0.000
118,Reaction, HYPERDRIVE, 0.190,0.000,0.000,0.000
118,Reaction,CARSALES,0.168,0.000,0.000,0.000
119,Reaction, HYPERDRIVE, 0.160,0.000,0.000,0.000
119,Reaction,CARSALES,0.174,0.000,0.000,0.000
120,Reaction, HYPERDRIVE, 0.160,0.000,0.000,0.000
120,Reaction,CARSALES,0.184,0.000,0.000,0.000
121,Reaction, HYPERDRIVE, 0.164,0.000,0.000,0.000
121,Reaction,CARSALES,0.188,0.000,0.000,0.000
122,Reaction, HYPERDRIVE, 0.175,0.000,0.000,0.000
122,Reaction,CARSALES,0.208,0.000,0.000,0.000
123,Reaction, HYPERDRIVE, 0.223,0.000,0.000,0.000
123,Reaction,CARSALES,0.247,0.000,0.000,0.000
124,Reaction, HYPERDRIVE, 0.173,0.000,0.000,0.000
124,Reaction,CARSALES,0.166,0.000,0.000,0.000
125,Reaction, HYPERDRIVE, 0.174,0.000,0.000,0.000
125,Reaction,CARSALES,0.166,0.000,0.000,0.000
126,Reaction, HYPERDRIVE, 0.178,0.000,0.000,0.000
126,Reaction,CARSALES,0.170,0.000,0.000,0.000
127,Reaction, HYPERDRIVE, DNF,0.000,0.000,0.000
127,Reaction,CARSALES,DNF,0.000,0.000,0.000
128,Reaction, HYPERDRIVE, DNF,0.000,0.000,0.000
128,Reaction,CARSALES,DNF,0.000,0.000,0.000
129,Reaction, HYPERDRIVE, DNF,0.000,0.000,0.000
129,Reaction,CARSALES,DNF,0.000,0.000,0.000
130,Reaction, HYPERDRIVE, 0.245,0.000,0.000,0.000
130,Reaction,CARSALES,0.235,0.000,0.000,0.000
131,Reaction, HYPERDRIVE, 0.181,0.000,0.000,0.000
131,Reaction,CARSALES,0.172,0.000,0.000,0.000
132,Reaction, HYPERDRIVE, DNF,0.000,0.000,0.000
132,Reaction,CARSALES,DNF,0.000,0.000,0.000
133,Reaction, HYPERDRIVE, 0.186,0.000,0.000,0.000
133,Reaction,CARSALES,0.158,0.000,0.000,0.000
134,Reaction, HYPERDRIVE, 0.228,0.000,0.000,0.000
134,Reaction,CARSALES,0.201,0.000,0.000,0.000
137,Reaction, LANE 1, 0.424,0.000,0.000,0.000
137,Reaction,LANE 2,0.186,0.000,0.000,0.000
138,Reaction, LANE 1, 0.193,0.000,0.000,0.000
138,Reaction,LANE 2,0.252,0.000,0.000,0.000
139,Reaction, LANE 1, 0.561,0.000,0.000,0.000
139,Reaction,LANE 2,0.586,0.000,0.000,0.000
140,Reaction, LANE 1, 0.198,0.000,0.000,0.000
140,Reaction,LANE 2,0.209,0.000,0.000,0.000
141,Reaction, LANE 1, 0.209,0.000,0.000,0.000
141,Reaction,LANE 2,0.227,0.000,0.000,0.000
142,Reaction, LANE 1, 0.207,0.000,0.000,0.000
142,Reaction,LANE 2,0.213,0.000,0.000,0.000
144,Reaction, LANE 1, 0.202,0.000,0.000,0.000
144,Reaction,LANE 2,0.244,0.000,0.000,0.000
145,Reaction, LANE 1, 0.150,0.000,0.000,0.000
145,Reaction,LANE 2,0.159,0.000,0.000,0.000
146,Reaction, LANE 1, 1.600,0.000,0.000,0.000
146,Reaction,LANE 2,1.576,0.000,0.000,0.000
147,Reaction, LANE 1, 0.727,0.000,0.000,0.000
147,Reaction,LANE 2,0.736,0.000,0.000,0.000
148,Reaction, LANE 1, 0.409,0.000,0.000,0.000
148,Reaction,LANE 2,0.420,0.000,0.000,0.000
149,Reaction, LANE 1, 0.359,0.000,0.000,0.000
149,Reaction,LANE 2,0.377,0.000,0.000,0.000
150,Reaction, LANE 1, 0.479,0.000,0.000,0.000
150,Reaction,LANE 2,0.502,0.000,0.000,0.000
151,Reaction, LANE 1, 0.291,0.000,0.000,0.000
151,Reaction,LANE 2,0.283,0.000,0.000,0.000
152,Reaction, LANE 1, 0.542,0.000,0.000,0.000
152,Reaction,LANE 2,0.553,0.000,0.000,0.000
153,Reaction, LANE 1, 0.341,0.000,0.000,0.000
153,Reaction,LANE 2,0.365,0.000,0.000,0.000
154,Reaction, LANE 1, 0.390,0.000,0.000,0.000
154,Reaction,LANE 2,0.432,0.000,0.000,0.000
155,Reaction, LANE 1, 1.015,0.000,0.000,0.000
155,Reaction,LANE 2,1.039,0.000,0.000,0.000
156,Reaction, LANE 1, 0.376,0.000,0.000,0.000
156,Reaction,LANE 2,0.399,0.000,0.000,0.000
157,Reaction, LANE 1, 0.402,0.000,0.000,0.000
157,Reaction,LANE 2,0.433,0.000,0.000,0.000
158,Reaction, LANE 1, 0.278,0.000,0.000,0.000
158,Reaction,LANE 2,0.302,0.000,0.000,0.000
161,Reaction, LANE 1, 0.809,0.000,0.000,0.000
161,Reaction,LANE 2,0.846,0.000,0.000,0.000
162,Reaction, LANE 1, 1.282,0.000,0.000,0.000
162,Reaction,LANE 2,0.394,0.000,0.000,0.000
163,Manual, LANE 1, 0.446,DNF,DNF,DNF
163,Manual,LANE 2,0.423,DNF,DNF,DNF
165,Manual, LEILA, 0.386,DNF,DNF,DNF
165,Manual,MAI,0.392,DNF,DNF,DNF
167,Manual, LEILA, 0.516,DNF,DNF,DNF
167,Manual,MAI,0.500,DNF,DNF,DNF
168,Manual, LEILA, 0.389,DNF,DNF,DNF
168,Manual,MAI,0.377,DNF,DNF,DNF
169,Manual, LEILA, DNF,0.000,DNF,DNF
169,Manual,MAI,DNF,0.000,DNF,DNF
171,Manual, LEILA, 0.284,DNF,DNF,DNF
171,Manual,MAI,0.291,DNF,DNF,DNF
172,Manual, LEILA, 0.348,DNF,DNF,DNF
172,Manual,MAI,0.373,DNF,DNF,DNF
173,Manual, LEILA, 0.493,DNF,DNF,DNF
173,Manual,MAI,0.508,DNF,DNF,DNF
174,Manual, LEILA, 0.345,DNF,DNF,DNF
174,Manual,MAI,0.340,DNF,DNF,DNF
175,Manual, LEILA, 0.243,DNF,DNF,DNF
175,Manual,MAI,0.267,DNF,DNF,DNF
176,Manual, LEILA, 0.473,DNF,DNF,DNF
